AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
19996,20190121.0,0.0,Pullup Jump shot,2.0,-29.0,134.0,2.0,1.0
20023,20190127.0,1.0,Hook Shot,2.0,-4.0,50.0,2.0,1.0
20046,20190129.0,1.0,Pullup Jump shot,2.0,-11.0,154.0,2.0,1.0
20052,20190129.0,1.0,Pullup Jump shot,2.0,11.0,191.0,2.0,1.0
20073,20190202.0,0.0,Jump Shot,2.0,139.0,121.0,2.0,1.0
20076,20190202.0,1.0,Turnaround Fadeaway shot,2.0,-18.0,107.0,2.0,1.0
20179,20190225.0,1.0,Jump Shot,2.0,-195.0,-4.0,2.0,1.0
20203,20190301.0,1.0,Pullup Jump shot,2.0,140.0,128.0,2.0,1.0
20488,20190407.0,0.0,Step Back Jump shot,2.0,126.0,185.0,2.0,1.0
21067,20190208.0,0.0,Turnaround Hook Shot,2.0,-25.0,31.0,2.0,1.0
21202,20190309.0,1.0,Driving Hook Shot,2.0,-11.0,12.0,2.0,1.0
21341,20190407.0,1.0,Pullup Jump shot,2.0,72.0,132.0,2.0,1.0
21877,20190410.0,0.0,Driving Floating Jump Shot,2.0,6.0,6.0,2.0,1.0
21971,20181104.0,0.0,Pullup Jump shot,2.0,95.0,136.0,2.0,1.0
22083,20181124.0,0.0,Fadeaway Jump Shot,2.0,-66.0,125.0,2.0,1.0
22151,20181209.0,1.0,Pullup Jump shot,2.0,-63.0,189.0,2.0,1.0
22198,20181221.0,1.0,Driving Floating Jump Shot,2.0,3.0,67.0,2.0,1.0
22550,20190312.0,0.0,Driving Floating Jump Shot,2.0,2.0,83.0,2.0,1.0
22652,20190405.0,0.0,Fadeaway Jump Shot,2.0,152.0,95.0,2.0,1.0
22691,20181017.0,0.0,Jump Shot,2.0,-44.0,146.0,2.0,1.0
22712,20181021.0,0.0,Jump Shot,2.0,-5.0,193.0,2.0,1.0
22789,20181101.0,0.0,Pullup Jump shot,2.0,-73.0,199.0,2.0,1.0
22925,20181119.0,0.0,Pullup Jump shot,2.0,200.0,29.0,2.0,1.0
23015,20181204.0,0.0,Pullup Jump shot,2.0,-43.0,216.0,2.0,1.0
23261,20190101.0,0.0,Fadeaway Jump Shot,2.0,149.0,29.0,2.0,1.0
23293,20190105.0,1.0,Fadeaway Jump Shot,2.0,-128.0,105.0,2.0,1.0
23371,20190114.0,1.0,Fadeaway Jump Shot,2.0,105.0,142.0,2.0,1.0
23570,20190213.0,1.0,Turnaround Fadeaway shot,2.0,33.0,146.0,2.0,1.0
23620,20190223.0,1.0,Driving Floating Jump Shot,2.0,-4.0,17.0,2.0,1.0
23717,20190306.0,0.0,Fadeaway Jump Shot,2.0,165.0,13.0,2.0,1.0
23783,20190314.0,0.0,Fadeaway Jump Shot,2.0,89.0,153.0,2.0,1.0
24289,20181219.0,0.0,Step Back Jump shot,2.0,149.0,16.0,2.0,1.0
24333,20190118.0,1.0,Driving Floating Jump Shot,2.0,98.0,51.0,2.0,1.0
24476,20181024.0,0.0,Step Back Jump shot,2.0,54.0,203.0,2.0,1.0
24654,20190213.0,0.0,Driving Floating Jump Shot,2.0,32.0,89.0,2.0,1.0
24880,20190406.0,0.0,Jump Shot,2.0,34.0,126.0,2.0,1.0
25631,20190228.0,0.0,Turnaround Hook Shot,2.0,35.0,13.0,2.0,1.0
25735,20190316.0,0.0,Driving Floating Jump Shot,2.0,49.0,117.0,2.0,1.0
26230,20190403.0,0.0,Pullup Jump shot,2.0,84.0,133.0,2.0,1.0
26739,20190223.0,1.0,Jump Shot,2.0,-2.0,75.0,2.0,1.0
26758,20190301.0,1.0,Jump Shot,2.0,65.0,12.0,2.0,1.0
26769,20190304.0,0.0,Jump Shot,2.0,55.0,100.0,2.0,1.0
26772,20190306.0,0.0,Jump Shot,2.0,-141.0,74.0,2.0,1.0
26779,20190308.0,0.0,Jump Shot,2.0,-154.0,160.0,2.0,1.0
26800,20190312.0,0.0,Floating Jump shot,2.0,76.0,18.0,2.0,1.0
26845,20190331.0,0.0,Jump Shot,2.0,-2.0,99.0,2.0,1.0
26869,20181020.0,0.0,Jump Shot,2.0,116.0,163.0,2.0,1.0
